day,date_short,created_at,user_id,username,fill,player,fill_alt,player_alt
5,02/27,02/27 14:54,31115,青花比目,N0AE,中岛布兰登,C0E9,科博利
5,02/27,02/27 14:53,33264,跟我一起摆烂,N0AE,中岛布兰登,,
5,02/27,02/27 14:52,35974,荞四皮,C0E9,科博利,,
5,02/27,02/27 14:52,32980,Elroy ZHANG,C0E9,科博利,,
5,02/27,02/27 14:52,34369,稀有气体hyk,C0E9,科博利,N0AE,中岛布兰登
5,02/27,02/27 14:52,35132,h***t,TD51,蒂亚福,,
5,02/27,02/27 14:51,36171,相信科学是非明,N0AE,中岛布兰登,,
5,02/27,02/27 14:51,37598,198******80,KI95,凯茨曼诺维奇,,
5,02/27,02/27 14:50,27388,之后再喝咖啡我就是狗,KI95,凯茨曼诺维奇,,
5,02/27,02/27 14:49,27446,指纹Nongzw,KI95,凯茨曼诺维奇,,
5,02/27,02/27 14:49,34148,萨卡外,KI95,凯茨曼诺维奇,,
4,02/26,02/27 12:09,41787,福尔摩凳,VA25,瓦舍罗,,
4,02/26,02/27 10:24,34717,A***4,VA25,瓦舍罗,,
4,02/26,02/27 10:07,8895,木的讷,VA25,瓦舍罗,,
4,02/26,02/27 10:05,34710,懒觉鱼睡不醒,VA25,瓦舍罗,,
4,02/26,02/27 09:52,28636,啦***拉,TD51,蒂亚福,VA25,瓦舍罗
4,02/26,02/27 09:43,37564,精神故乡丝芙兰,KI95,凯茨曼诺维奇,,
4,02/26,02/27 09:18,32763,1000赛的W,KI95,凯茨曼诺维奇,N0AE,中岛布兰登
4,02/26,02/27 08:48,44900,吾***叔,TD51,蒂亚福,KI95,凯茨曼诺维奇
4,02/26,02/27 07:33,35077,500赛的W,KI95,凯茨曼诺维奇,VA25,瓦舍罗
4,02/26,02/27 07:33,29270,xxxjusAng,TD51,蒂亚福,,
4,02/26,02/27 07:32,31550,九O墨,KI95,凯茨曼诺维奇,N0AE,中岛布兰登
4,02/26,02/27 07:26,32322,大满贯的W,KI95,凯茨曼诺维奇,N0AE,中岛布兰登
4,02/26,02/27 07:23,30932,samsonyip,KI95,凯茨曼诺维奇,VA25,瓦舍罗
4,02/26,02/27 07:08,35082,年终的W,TD51,蒂亚福,KI95,凯茨曼诺维奇
4,02/26,02/27 05:38,40803,Maya Wong,WB32,吴易昺,N0AE,中岛布兰登
4,02/26,02/27 03:12,34368,回破,KI95,凯茨曼诺维奇,B0GG,马-贝鲁奇
4,02/26,02/27 01:19,22199,无聊-消遣,C0E9,科博利,VA25,瓦舍罗
4,02/26,02/27 01:18,40286,薄荷奶绿不加冰_,TD51,蒂亚福,KI95,凯茨曼诺维奇
4,02/26,02/27 01:11,45901,小飞侠-8023,TD51,蒂亚福,,
4,02/26,02/27 00:28,39396,178******17,TD51,蒂亚福,KI95,凯茨曼诺维奇
4,02/26,02/27 00:20,27446,指纹Nongzw,TD51,蒂亚福,A0GC,阿特马纳
4,02/26,02/27 00:15,29300,-Frictionless,TD51,蒂亚福,KI95,凯茨曼诺维奇
4,02/26,02/27 00:13,35123,134******50,TD51,蒂亚福,VA25,瓦舍罗
