day,date_short,created_at,user_id,username,fill,player,fill_alt,player_alt
3,02/25,02/26 10:21,31550,九O墨,VA25,瓦舍罗,,
3,02/25,02/26 08:19,44900,吾***叔,WB32,吴易昺,TD51,蒂亚福
3,02/25,02/26 08:12,35099,苟***术,WB32,吴易昺,VA25,瓦舍罗
3,02/25,02/26 08:02,2999,美网冠军丘里奇,N0AE,中岛布兰登,,
3,02/25,02/26 07:54,40799,Markwu0626,WB32,吴易昺,VA25,瓦舍罗
3,02/25,02/26 07:51,39228,Genie201312,N0AE,中岛布兰登,VA25,瓦舍罗
3,02/25,02/26 07:48,40798,怀***蕴,DH50,达维多维奇,TD51,蒂亚福
3,02/25,02/26 07:34,29351,日***岸,DH50,达维多维奇,Z355,亚-兹韦列夫
3,02/25,02/26 07:19,34710,懒觉鱼睡不醒,TD51,蒂亚福,WB32,吴易昺
3,02/25,02/26 07:15,30932,samsonyip,TD51,蒂亚福,VA25,瓦舍罗
3,02/25,02/26 03:56,28367,谁***控,TD51,蒂亚福,Z355,亚-兹韦列夫
3,02/25,02/26 02:56,34368,回破,TD51,蒂亚福,WB32,吴易昺
3,02/25,02/26 02:50,8895,木的讷,WB32,吴易昺,TD51,蒂亚福
3,02/25,02/26 01:30,29270,xxxjusAng,WB32,吴易昺,,
3,02/25,02/26 01:27,34662,189******99,DH50,达维多维奇,Z355,亚-兹韦列夫
3,02/25,02/26 01:15,45550,Dylan Bai,J0DZ,霍达尔,WB32,吴易昺
3,02/25,02/26 01:05,27450,MobiusZH,WB32,吴易昺,N0AE,中岛布兰登
3,02/25,02/26 00:59,44801,na_go_h,TD51,蒂亚福,J0DZ,霍达尔
3,02/25,02/26 00:58,10322,ElvisD95,TD51,蒂亚福,DH50,达维多维奇
3,02/25,02/26 00:56,29300,-Frictionless,WB32,吴易昺,TD51,蒂亚福
3,02/25,02/26 00:47,39492,A-ries_15,TD51,蒂亚福,,
3,02/25,02/26 00:41,31557,一***酒,TD51,蒂亚福,DH50,达维多维奇
3,02/25,02/26 00:24,22199,无聊-消遣,WB32,吴易昺,Z355,亚-兹韦列夫
3,02/25,02/26 00:06,37256,Dagenais,DH50,达维多维奇,Z355,亚-兹韦列夫
3,02/25,02/26 00:05,40718,洋葱葱葱葱葱葱葱啊,WB32,吴易昺,DH50,达维多维奇
3,02/25,02/25 23:54,21672,158*****803,Z355,亚-兹韦列夫,TD51,蒂亚福
3,02/25,02/25 23:50,34717,A***4,WB32,吴易昺,Z355,亚-兹韦列夫
3,02/25,02/25 23:45,35077,500赛的W,N0AE,中岛布兰登,,
3,02/25,02/25 23:44,32763,1000赛的W,WB32,吴易昺,,
3,02/25,02/25 23:43,32322,大满贯的W,TD51,蒂亚福,,
3,02/25,02/25 23:39,35082,年终的W,VA25,瓦舍罗,TD51,蒂亚福
3,02/25,02/25 23:17,40286,薄荷奶绿不加冰_,VA25,瓦舍罗,TD51,蒂亚福
3,02/25,02/25 23:04,11119,我宝儿子不露脸不改名,J0DZ,霍达尔,DH50,达维多维奇
3,02/25,02/25 23:04,32121,用户7856057992,TD51,蒂亚福,DH50,达维多维奇
3,02/25,02/25 23:00,28801,用户7424117482,WB32,吴易昺,TD51,蒂亚福
3,02/25,02/25 22:54,44684,Norrie Go,VA25,瓦舍罗,TD51,蒂亚福
3,02/25,02/25 22:53,27994,板尼哟,J0DZ,霍达尔,TD51,蒂亚福
3,02/25,02/25 22:47,40803,Maya Wong,VA25,瓦舍罗,Z355,亚-兹韦列夫
