player,count
蒂亚福,30
吴易昺,18
达维多维奇,16
亚-兹韦列夫,15
瓦舍罗,14
中岛布兰登,11
霍达尔,8
斯夫尔奇纳,4
科博利,4
阿特马纳,3
基普森,1
