player,count
毛罗然,12
科达,10
胡尔卡奇,10
巴埃斯,9
范德尚舒尔普,9
米克尔森,6
岛袋将,3
博尔热斯,2
塔比洛,2
迪米特洛夫,2
舍夫琴科,1
郑瑞,1
阿特马纳,1
鲁瓦耶,1
