player,count
丰塞卡,29
凯茨曼诺维奇,24
吉隆,24
孟菲尔斯,23
西里奇,19
富乔维奇,13
阿里斯,13
贝雷蒂尼,11
斯夫尔奇纳,9
布鲁克斯比,6
西西帕斯,6
奥佩尔卡,5
普里兹米奇,5
沙波瓦洛夫,5
达姆,5
迪亚洛,5
马-贝鲁奇,3
施特鲁夫,2
曼纳里诺,2
沃尔顿,2
波佩林,2
科利尼翁,2
乌戈-卡拉贝利,1
加拉尔诺,1
奎因,1
奥康尼尔,1
贝尔赫斯,1
达克沃斯,1
