player,count
科斯蒂亚,19
奥索里奥,18
帕克斯,15
李吉妮,11
波塔波娃,11
巴多萨,8
张帅,8
曾丽美,8
凯斯勒,7
拉希莫娃,5
麦克纳莉,5
博萨斯,4
坂诘姬野,2
普汀塞娃,2
鲁塞,2
什塔库西奇,1
克里斯蒂安,1
加尔菲,1
布林科娃,1
希门尼斯,1
森梅兹,1
比勒尔,1
汤姆亚诺维奇,1
玛利亚,1
玛雅,1
赛德尔,1
