player,count
中岛布兰登,46
勒纳-钱,37
保罗,25
阿利亚西姆,20
谢尔顿,18
菲斯,17
达维多维奇,14
穆塞蒂,13
亚-兹韦列夫,12
辛纳,11
门希克,8
沙波瓦洛夫,4
布鲁克斯比,3
什瓦伊达,1
科博利,1
蒂亚福,1
