player,count
亚-兹韦列夫,34
阿利亚西姆,26
保罗,22
辛纳,22
菲斯,21
门希克,8
谢尔顿,7
蒂亚福,4
达维多维奇,3
科博利,2
丰塞卡,1
勒纳-钱,1
迪亚洛,1
