player,count
布勃利克,52
鲁德,46
达尔德里,34
德雷珀,30
弗里茨,28
林德克内希,13
弗-塞伦多洛,11
诺里,10
莱赫奇卡,7
德约科维奇,6
梅德韦杰夫,5
瓦舍罗,4
卢布列夫,3
穆泰,2
丰塞卡,1
安贝尔,1
科瓦切维奇,1
